total_focos,ano,mes,estado
152,2002,1,PI
47,2002,1,PR
11,2002,1,RN
416,2002,1,RO
533,2002,1,RR
263,2002,1,RS
22,2002,1,SC
1,2002,1,SE
19,2002,1,SP
762,2002,1,TO
7,2002,2,AC
15,2002,2,AL
485,2002,2,AM
154,2002,2,AP
204,2002,2,BA
81,2002,2,CE
13,2002,2,ES
9,2002,2,GO
354,2002,2,MA
62,2002,2,MG
98,2002,2,MS
22,2002,2,MT
132,2002,2,PA
23,2002,2,PB
19,2002,2,PE
234,2002,2,PI
24,2002,2,PR
1,2002,2,RJ
18,2002,2,RN
232,2002,2,RO
514,2002,2,RR
38,2002,2,RS
5,2002,2,SC
6,2002,2,SE
19,2002,2,SP
323,2002,2,TO
21,2002,3,AC
27,2002,3,AL
375,2002,3,AM
28,2002,3,AP
146,2002,3,BA
17,2002,3,CE
6,2002,3,ES
48,2002,3,GO
153,2002,3,MA
62,2002,3,MG
115,2002,3,MS
103,2002,3,MT
17,2002,3,PA
6,2002,3,PB
24,2002,3,PE
102,2002,3,PI
18,2002,3,PR
1,2002,3,RJ
3,2002,3,RN
521,2002,3,RO
850,2002,3,RR
26,2002,3,RS
12,2002,3,SC
7,2002,3,SE
111,2002,3,SP
458,2002,3,TO
8,2002,4,AC
6,2002,4,AL
306,2002,4,AM
21,2002,4,AP
108,2002,4,BA
6,2002,4,CE
1,2002,4,DF
2,2002,4,ES
78,2002,4,GO
43,2002,4,MA
99,2002,4,MG
230,2002,4,MS
641,2002,4,MT
11,2002,4,PA
2,2002,4,PB
5,2002,4,PE
100,2002,4,PI
84,2002,4,PR
8,2002,4,RJ
1,2002,4,RN
159,2002,4,RO
54,2002,4,RR
6,2002,4,RS
7,2002,4,SC
12,2002,4,SE
178,2002,4,SP
190,2002,4,TO
2,2002,5,AC
1,2002,5,AL
111,2002,5,AM
5,2002,5,AP
164,2002,5,BA
10,2002,5,CE
1,2002,5,DF
5,2002,5,ES
171,2002,5,GO
77,2002,5,MA
98,2002,5,MG
88,2002,5,MS
2522,2002,5,MT
19,2002,5,PA
1,2002,5,PB
13,2002,5,PE
85,2002,5,PI
65,2002,5,PR
4,2002,5,RJ
6,2002,5,RN
29,2002,5,RO
11,2002,5,RR
7,2002,5,RS
3,2002,5,SC
319,2002,5,SP
170,2002,5,TO
2,2002,6,AC
36,2002,6,AM
116,2002,6,BA
15,2002,6,CE
7,2002,6,DF
18,2002,6,ES
303,2002,6,GO
232,2002,6,MA
207,2002,6,MG
520,2002,6,MS
7879,2002,6,MT
149,2002,6,PA
1,2002,6,PB
7,2002,6,PE
199,2002,6,PI
115,2002,6,PR
13,2002,6,RJ
1,2002,6,RN
167,2002,6,RO
5,2002,6,RR
4,2002,6,RS
562,2002,6,SP
441,2002,6,TO
282,2002,7,AC
33,2002,7,AL
574,2002,7,AM
91,2002,7,AP
628,2002,7,BA
42,2002,7,CE
38,2002,7,DF
92,2002,7,ES
792,2002,7,GO
1995,2002,7,MA
888,2002,7,MG
1064,2002,7,MS
6932,2002,7,MT
1349,2002,7,PA
48,2002,7,PB
32,2002,7,PE
1502,2002,7,PI
439,2002,7,PR
52,2002,7,RJ
411,2002,7,RN
1188,2002,7,RO
232,2002,7,RR
405,2002,7,RS
323,2002,7,SC
13,2002,7,SE
645,2002,7,SP
1478,2002,7,TO
1722,2002,8,AC
112,2002,8,AL
2053,2002,8,AM
246,2002,8,AP
1849,2002,8,BA
504,2002,8,CE
49,2002,8,DF
172,2002,8,ES
1498,2002,8,GO
4733,2002,8,MA
2142,2002,8,MG
